Price,Bedrooms,Bathrooms,Square Footage,Latitude,Longitude,Acreage,Garage,Parking,Fireplace,Heating,Waterfront,Sewer,Pool,Garden,Balcony
1798000.0,2.0,3.0,1183.0,49.2868444,-123.1241525,0.0,Yes,Yes,No,forced air,No,none,No,No,No
928000.0,2.0,2.0,884.0,49.2156531,-123.1163426,0.0,Yes,Yes,No,heat pump,No,none,No,No,No
918000.0,2.0,2.0,815.0,49.2156531,-123.1163426,0.0,Yes,Yes,No,heat pump,No,none,No,No,No
729000.0,1.0,1.0,708.0,49.2776305,-123.1229582,0.0,Yes,Yes,No,radiant,No,none,No,No,No
899000.0,1.0,1.0,862.0,49.2757777,-123.1257613,0.0,Yes,No,Yes,radiant,No,none,No,No,No
2990000.0,2.0,2.0,1573.0,49.2901023,-123.1232033,0.0,Yes,Yes,Yes,forced air,No,none,No,No,No
569900.0,1.0,1.0,549.0,49.2412212,-123.0575805,0.0,Yes,Yes,No,radiant,No,none,No,No,No
2200000.0,4.0,2.0,2261.0,49.2346082,-123.0607289,0.13,Yes,No,No,forced air,No,none,No,No,No
770000.0,2.0,0.0,750.0,49.2792468,-123.1255314,0.0,Yes,Yes,No,radiant,No,none,No,No,No
699000.0,1.0,1.0,588.0,49.2788252,-123.1077788,0.0,Yes,Yes,No,radiant,No,none,No,No,No
1600000.0,2.0,2.0,1144.0,49.2923591,-123.1326009,0.0,Yes,Yes,Yes,forced air,No,none,No,No,No
1575900.0,2.0,2.0,926.0,49.2387201,-123.1181326,0.0,Yes,Yes,No,forced air,No,none,No,No,No
950900.0,2.0,1.0,592.0,49.2387201,-123.1181326,0.0,Yes,Yes,No,forced air,No,none,No,No,No
889000.0,2.0,1.0,709.0,49.2755788,-123.1278306,0.0,Yes,Yes,No,radiant,No,none,No,No,No
2079900.0,3.0,3.0,1634.0,49.2454358,-123.1186925,0.0,Yes,Yes,No,forced air,No,none,No,No,No
489900.0,1.0,1.0,412.0,49.2817925,-123.104127,0.0,No,No,No,radiant,No,none,No,No,No
1068000.0,2.0,2.0,783.0,49.2749667,-123.1153764,0.0,Yes,Yes,No,heat pump,No,none,No,No,No
1999900.0,3.0,3.0,1628.0,49.2449448,-123.1187266,0.0,Yes,Yes,No,forced air,No,none,No,No,No
