streetAddress,addressLocality,addressRegion,postalCode,latitude,longitude,description,price,priceCurrency,property-beds,property-baths,property-sqft,Acreage,Air Conditioning,Year Built,Area,Basement,Bath,Full Bathrooms,Half Bathrooms,Bedroom,Bonus Room,Breakfast,Contract Conditions,Cooling,Den,Property Details,Dining Room,Driveway,Exterior,Exterior Features,Family Room,Features,Fees,Finished Basement,Fireplace,Fireplaces,Formal Dining,Foundation,Foyer,Gallery,Game Room,Garage,Garage Spaces,Garage Type,Great Room,Heating,Heating Source,Home Features,Interior Features,Kitchen,Last Updated,Laundry Room,Date Listed,Listing ID,Living Room,Lot Size,Master Bath,Master Bedroom,Master Bedroom First Floor,Media Room,MLS® #,Model Type,Mortgage Calculator,Neighbourhood Features,N/A,Occupancy,Office/Den,Other,Ownership Type,Parking Spaces,Partial Bathroom,Pet Policy,Pool,Property Tax,Property Type,Roof,Room Details,Rooms,School District,See more details,See less details,Sewer,Square Footage,Status,Stories,Style,Subdivision,Tax Year,Total Acres,Transaction Type,Type,Utility Room,Waterfront,Waterview,Yes,Heating Fuel,Heating/Cooling,Basement Description,Basement Details,Basement Development,Basement Type,Basement Walls,Fireplace Description,Fireplace Fuel,Fireplace Location,Fireplace Type,Fireplace Y/N,Parking,Parking Description,Parking Surface,Parking Types,Garage Capacity,Garage Description,Garage/Carport,Exterior Finish,Pool Features,Pool YN,Roofing,Roofing Description,Lease,Lease Requirements,Lease Term,Architecture,Year Built Description,Year Built Source,Approx Age,Location,Ownership,Pets Allowed,Levels,SqFT Range,Inclusions,Appliances,Exclusions,Electric,Electric Available,Ensuite,Family Room Level,Floor Location,Fuel,Fuel Type,Furnace,Furnished,Gas,Gas Available,Hot Water,Interior,Interior Layout,Interior Maintenance/Repairs Paid By,Laundry,Laundry Description,Laundry Location,LaundryFeatures,Natural Gas,Number Of Fireplaces,Plumbing,Power,Power Source,Smoke Detector(s),Master Description,Br Description,2nd Br Description,3rd Br Description,4th Br Description,5th Br Description,Pantry Description,Foyer Description,Dining Description,Living Description,Kitchen Description,Sitting Description,Den Description,Family Description,Bathroom Description,Office Description,Rec Description,Breakfast Description,Workshop description,Tandem Description,Sunroom Description,Study Description,Solarium Description,Powder Room Description,Play Description,Nursery Description,Mudroom Description,Media/Ent Description,Library Description,Great Room Description,Games Description,Furnace Description,Exercise Description,Dinning Description,Common Room Description,Cold/Cant Description,Locker,Locker Description,Heating Fuels,Flooring,HVAC,Waterfront Features,Waterfront YN,Access,Access Road,Building Style,Building Type,Buildings,Bush,Carport,Construction,Construction Materials,Construction Type,Covered Parking,Direction Facing,District,Exposure,Extra Structures,Fence,Fencing,Fronting On,Frontage,Gated,Loading Dock,Loading Info,Major Area,Out Buildings,Outdoor Area,Patio,Present Structures,Rear Exposure,Road,Road Between Waterfront And Home,Site Description,Site Influence,Site Influences,Site Information,Soil,Sprinklers,Storm Sewage Drain,Association Amenities,Balcony,Acreage Range,Exterior Build,Lot Description,Lot Shape,Lock Box,Security Features,Tenant Pays,Owner Pays,Rent Includes,Assessed Fees,Association Fee Frequency,Telephone Service,TV Service,Utilities,Utilities Included,Utility Description,Waste,Water,Water Heater,Water Heater Location,Water Heating Paid By,Water Paid By,Water Purifier,Water Service,Water Softener,Water Source,Water Treatment,Water Type,Common Interest,Business Type,Commercial Type,Complex,Condo Management,Condo Name,Current Use,Disclosures/Documents,Documents On File,Dues Frequency,Electric (amps),Electric (volts),Electric Paid By,Escape Clause,Farm,Farm Type,Fee Frequency,Fee Includes,Financing,For Sale or Lease,FP Fuel,Franchise,Grade Level Entry Y/N,HOA Includes,HOA Pay Schedule,HOA Terms,Income Property,Insurance Paid By,Lease Includes,Maintenance Paid By,Management,Mobile Home Type,Nearest Town,Occupied By,Percolation Test,Possession,Present Use,Price Type,Property Sub Type,Property Subtype,Property Type Detail,Quarter,Range,Recreation,Rental Type,Residence,Restrictions,Restrictions/Covenants,Sale Rent,Sale Terms,Sale Type,SaleOrRent,Showing Instructions,Soil Test,Sub Property Type,Sub Type,Survey Available,Taxes Paid By,Terms,Title,Parking Features,Fireplace Features,Board,Foundation/Basement,Rental Equipment,Sign,Condo Management Firm,Condo Fees Include,Condo Fees Assessed Y/N,Bare Land YN,Condo Fees,Distance To High School,Drinking Water Y/N,Distance To Town,Distance To Elementary School,Community Name,Amenities,Structure,Surface Water,Utilities Available,Ensuite 4-Piece Level,Storage Room Level,Age Description,Bath 2-Piece Level,Bath 3-Piece Level,Foyer Level,Bath 4-Piece Level,Bedroom Level,Walk In Closet Level,Sewer Type,Last Change Type,Kitchen Level,Dwelling Type,Primary Bedrm Level,Assoc,Living Room Level,Recreation Room Level,Dining Room Level,Laundry Room Level,Rental Features,Assoc/Maint Fee Per,Living Area,Zoning,Architectural Style,Lot Features,Maintenance,Water/Sewer,Double,Land Features,MLS,Sub Area,Building Features,Lease Type,Municipality,Community Features,Elevator,MLS Area Minor,View,Foundation Details,SqFt Range,Building Area Source,Buyer Agent Designation,Lot Measurement,Lot Size Source,Topography,Current Financing
"434 NORSEMAN DRIVE, Yellowknife, NT X1A2H8",Yellowknife,NT,X1A2H8,62.4447824,-114.3991689,"3-bedroom, 1-bathroom home in Northlands features a large fenced yard with mature trees. The home opens to a large entrance with a spacious front closet, large family room and kitchen. Upgrades: Propane furnace (2022), Hot water tank (2020), 2 new windows. Note: Northland properties are subject to a $283.27/month local improvement charge in addition to property taxes. (id:38686)",250000.0,CAD,3,1,"1,211",,,,,,,,,,,,,,,,,,[],[],,[],,,[],,,,,,,,,,,[],,,,,,,,,,,,,,,6074,,,,,,,,,,,,,N/A,Condo,,,,,,,[],"1,211 SQFT",,,,,,,,Condo,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6074,,,,,,,,,,,,,,,,
"202-119 MOYLE DRIVE, Yellowknife, NT X1A0B6",Yellowknife,NT,X1A0B6,62.4667216,-114.3726312,"Well-maintained modern and spacious second-floor 2-bedroom, 2-bathroom condo located in the desirable Niven Lake subdivision, just minutes from downtown Yellowknife and steps away from the scenic Niven Lake Trail. Espresso-colored kitchen cabinets with tile backsplash. The kitchen boasts a spacious pantry for extra storage. Enjoy the uniform laminate vinyl tile flooring in the kitchen, laminate in the living room, and carpet in the bedrooms. The primary bedroom features a walk-through closet leading to a full en-suite bath, while the second bedroom is conveniently located next to another full bathroom, making it an excellent setup for roommates or rental income. Additional highlights include a spacious laundry room with extra storage and a large, sunlit deck with a durable Duradeck covering. Condo fees: $535/month include heat, water, building insurance, management, snow and garbage removal, repairs, reserve fund contributions, and one energized parking stall. (id:38686)",439900.0,CAD,2,2,"1,009",,,,,,,,,,,,,,,,,,[],[],,[],,,[],,,,,,,,,,,[],,,,,,,,,,,,,,,6072,,,,,,,,,,,,,N/A,Condo,,,,,,,[],"1,009 SQFT",,,,,,,,Condo,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6072,,,,,,,,,,,,,,,,
"158 BIRCH STREET, Fort Liard, NT X0G0A0",Fort Liard,NT,X0G0A0,60.2412834,-123.4679337,"This property located in Fort Liard offers grassy curb appeal and a fenced backyard. Set on a lot of over 14,000 sq. ft., features a fully-developed basement offering a 2-bedroom suite, perfect for guests or rental income. The main floor boasts 2 cozy bedrooms, a bright living area, and a functional kitchen. Ideal for families or investors, this home combines comfort and opportunity in a serene setting. (id:38686)",144900.0,CAD,4,2,979,,,,,[],,,,,,,,,,,,,[],[],,[],,,[],,,,,,,,,,,[],,,,,,,,,,,,,,,5934,,,,,,,,,,,,,N/A,Single Family,[],,,,,,[],979 SQFT,,,,,,,,Single Family,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5934,,,,,,,,,,,,,,,,
,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"206B-5109 FORREST DRIVE DR, Yellowknife, NT X1A2B3",Yellowknife,NT,X1A2B3,62.4454066,-114.3771883,"This spacious 3-bedroom, 1-bath condo offers over 1,062 sq. ft. of comfortable living space. Situated at the rear of the building, it provides a peaceful retreat away from street noise. The newly installed south-facing windows fill the home with an abundant of natural light and offers serene views of a quiet backyard. Conveniently located near hospitals, schools, and parks. This condo includes essential appliances--fridge, stove, dishwasher, washer, and dryer--as well as a main-floor storage unit for added convenience. Condo Fees $1267 include: Heat, Water, Property Management, Building Insurance, Garbage Pick up, Snow Removal (id:50967)",289900.0,CAD,3,1,"1,062",,,,,,,,,,,,,,,,,,[],[],,[],,,[],,,,,,,,,,,[],,,,,,,,,,,,,,,6055,,,,,,,,,,,,,N/A,Condo,,,,,,,[],"1,062 SQFT",,,,,,,,Condo,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6055,,,,,,,,,,,,,,,,
"114 BLACKWATER ROAD, Fort Liard, NT",Fort Liard,NT,,60.2318573,-123.4791031,"Great property in Fort Liard on TITLED land - not leased! Only three available, and this is one! 5-bedroom, 1-bathroom home situated on a massive lot filled with grass and trees. 3-bedrooms, 1-bathroom, the kitchen and living room are all located upstairs, with a full basement, complete with 2 additional bedrooms and 2 large spaces that can be recreational areas, living room, etc. with a cozy woodstove to reduce heat costs. Propane heat with new propane tank installed 4 years ago. Shingles replaced in 2012, deck replaced in 2019. New interior doors, light fixtures, fresh paint, water tank professionally cleaned, and new washer and dryer. Located in a flood-free zone. This home is move-in ready and available for immediate possession. *Call Becca at 867-445-5314 for more information! (id:38686)",133500.0,CAD,5,1,900,,,,,[],,,,,,,,,,,,,[],[],,[],,,Yes,,,,,,,,,,,[],,,,,,,,,,,,,,,5115,,,,,,,,,,,,,N/A,Single Family,[],,,,,,[],900 SQFT,,,,,,,,Single Family,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],"[""Wood"", ""Conventional""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5115,,,,,,,,,,,,,,,,
"16 HEARNE HILL ROAD, Yellowknife, NT",Yellowknife,NT,,62.4692983,-114.3468383,"Located in the very sought-after neighborhood of Latham Island, only steps away from a popular playground and lake access to go paddling after work on Back Bay. This flat lot offers endless opportunities! (id:38686)",224900.0,CAD,0,0,1,,,,,[],,,,,,,,,,,,,[],[],,[],,,[],,,,,,,,,,,[],,,,,,,,,,,,,,,5240,,,,,,,,,,,,,N/A,Single Family,[],,,,,,[],1 SQFT,,,,,,,,Single Family,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5240,,,,,,,,,,,,,,,,
"607 RANGE LAKE ROAD, Yellowknife, NT",Yellowknife,NT,,62.4405853,-114.4159347,"Affordable, Fully Renovated 3-Bedroom Townhouse. This townhouse offers exceptional value in a prime, central location. With 3 spacious bedrooms and 1.5 bathrooms, this home is perfect for families or anyone seeking convenience and comfort. Situated within walking distance to schools, shopping, recreational facilities, public transit, and healthcare services, everything you need is just a short stroll away. The large front deck that is ideal for relaxing or entertaining & the rear deck (added in 2020) that is a cozy spot for outdoor enjoyment. Welcoming entryway features bench seating and a closet for added convenience. Freshly painted, with new laminate flooring, updated kitchen and bathroom cupboard doors, and newer appliances. This condo is move-in ready, offering modern comfort at an affordable price. The monthly condo fee of $372.25 covers building insurance, professional management, garbage pickup, and snow removal. (id:38686)",349900.0,CAD,3,2,"1,208",,,,,,,,,,,,,,,,,,[],[],,[],,,[],,,,,,,,,,,[],,,,,,,,,,,,,,,5927,,,,,,,,,,,,,N/A,Condo/Townhome,,,,,,,[],"1,208 SQFT",,,,,,,,Condo/Townhome,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5927,,,,,,,,,,,,,,,,
"53 FIR CRESCENT, Hay River, NT",Hay River,NT,,60.8219771,-115.7851161,"3-bed, 2-bath home with addition. Large kitchen with stainless steel appliances extend into the open-concept living space. Call Becca at 867-445-5314 for more information. (id:38686)",109900.0,CAD,3,2,"1,427",,,,,[],,,,,,,,,,,,,[],[],,[],,,[],,,,,,,,,,,[],,,,,,,,,,,,,,,6040,,,,,,,,,,,,,N/A,Single Family,[],,,,,,[],"1,427 SQFT",,,,,,,,Single Family,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6040,,,,,,,,,,,,,,,,
"5204 53 STREET, Yellowknife, NT X1A1V8",Yellowknife,NT,X1A1V8,62.4494444,-114.3695911,"Charming 5-bedroom, 2-bathroom home nestled in a quiet neighbourhood just minutes away from downtown and amenities. The main level offers a bright and sunny large living room immediately upon entry, three large bedrooms featuring plush carpet, one recently updated full bathroom, an updated kitchen with stainless-steel appliances and plenty of storage, and laundry with double sink and additional storage. The fully-finished basement is complete with two additional spacious bedrooms, one full bathroom, a massive recreational room/second living room, and mechanical. The exterior boasts a beautifully landscaped, grassy front yard, paired with a paved driveway providing ample parking. The fully-fenced front and backyard ensure both privacy and security, perfect for kids and pets. With plenty of storage space inside and out, this well-maintained property is ready to be your new home. Don't miss the chance to own this wonderful downtown gem! (id:38686)",649900.0,CAD,5,2,"1,122",,,,,[],,,,,,,,,,,,,[],[],,[],,,[],,,,,,,,,,,[],,,,,,,,,,,,,,,5983,,,,,,,,,,,,,N/A,Single Family,[],,,,,,[],"1,122 SQFT",,,,,,,,Single Family,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5983,,,,,,,,,,,,,,,,
