streetAddress,addressLocality,addressRegion,postalCode,latitude,longitude,description,price,priceCurrency,property-beds,property-baths,property-sqft,Acreage,Air Conditioning,Year Built,Area,Basement,Bath,Full Bathrooms,Half Bathrooms,Bedroom,Bonus Room,Breakfast,Contract Conditions,Cooling,Den,Property Details,Dining Room,Driveway,Exterior,Exterior Features,Family Room,Features,Fees,Finished Basement,Fireplace,Fireplaces,Formal Dining,Foundation,Foyer,Gallery,Game Room,Garage,Garage Spaces,Garage Type,Great Room,Heating,Heating Source,Home Features,Interior Features,Kitchen,Last Updated,Laundry Room,Date Listed,Listing ID,Living Room,Lot Size,Master Bath,Master Bedroom,Master Bedroom First Floor,Media Room,MLS® #,Model Type,Mortgage Calculator,Neighbourhood Features,N/A,Occupancy,Office/Den,Other,Ownership Type,Parking Spaces,Partial Bathroom,Pet Policy,Pool,Property Tax,Property Type,Roof,Room Details,Rooms,School District,See more details,See less details,Sewer,Square Footage,Status,Stories,Style,Subdivision,Tax Year,Total Acres,Transaction Type,Type,Utility Room,Waterfront,Waterview,Yes,Heating Fuel,Heating/Cooling,Basement Description,Basement Details,Basement Development,Basement Type,Basement Walls,Fireplace Description,Fireplace Fuel,Fireplace Location,Fireplace Type,Fireplace Y/N,Parking,Parking Description,Parking Surface,Parking Types,Garage Capacity,Garage Description,Garage/Carport,Exterior Finish,Pool Features,Pool YN,Roofing,Roofing Description,Lease,Lease Requirements,Lease Term,Architecture,Year Built Description,Year Built Source,Approx Age,Location,Ownership,Pets Allowed,Levels,SqFT Range,Inclusions,Appliances,Exclusions,Electric,Electric Available,Ensuite,Family Room Level,Floor Location,Fuel,Fuel Type,Furnace,Furnished,Gas,Gas Available,Hot Water,Interior,Interior Layout,Interior Maintenance/Repairs Paid By,Laundry,Laundry Description,Laundry Location,LaundryFeatures,Natural Gas,Number Of Fireplaces,Plumbing,Power,Power Source,Smoke Detector(s),Master Description,Br Description,2nd Br Description,3rd Br Description,4th Br Description,5th Br Description,Pantry Description,Foyer Description,Dining Description,Living Description,Kitchen Description,Sitting Description,Den Description,Family Description,Bathroom Description,Office Description,Rec Description,Breakfast Description,Workshop description,Tandem Description,Sunroom Description,Study Description,Solarium Description,Powder Room Description,Play Description,Nursery Description,Mudroom Description,Media/Ent Description,Library Description,Great Room Description,Games Description,Furnace Description,Exercise Description,Dinning Description,Common Room Description,Cold/Cant Description,Locker,Locker Description,Heating Fuels,Flooring,HVAC,Waterfront Features,Waterfront YN,Access,Access Road,Building Style,Building Type,Buildings,Bush,Carport,Construction,Construction Materials,Construction Type,Covered Parking,Direction Facing,District,Exposure,Extra Structures,Fence,Fencing,Fronting On,Frontage,Gated,Loading Dock,Loading Info,Major Area,Out Buildings,Outdoor Area,Patio,Present Structures,Rear Exposure,Road,Road Between Waterfront And Home,Site Description,Site Influence,Site Influences,Site Information,Soil,Sprinklers,Storm Sewage Drain,Association Amenities,Balcony,Acreage Range,Exterior Build,Lot Description,Lot Shape,Lock Box,Security Features,Tenant Pays,Owner Pays,Rent Includes,Assessed Fees,Association Fee Frequency,Telephone Service,TV Service,Utilities,Utilities Included,Utility Description,Waste,Water,Water Heater,Water Heater Location,Water Heating Paid By,Water Paid By,Water Purifier,Water Service,Water Softener,Water Source,Water Treatment,Water Type,Common Interest,Business Type,Commercial Type,Complex,Condo Management,Condo Name,Current Use,Disclosures/Documents,Documents On File,Dues Frequency,Electric (amps),Electric (volts),Electric Paid By,Escape Clause,Farm,Farm Type,Fee Frequency,Fee Includes,Financing,For Sale or Lease,FP Fuel,Franchise,Grade Level Entry Y/N,HOA Includes,HOA Pay Schedule,HOA Terms,Income Property,Insurance Paid By,Lease Includes,Maintenance Paid By,Management,Mobile Home Type,Nearest Town,Occupied By,Percolation Test,Possession,Present Use,Price Type,Property Sub Type,Property Subtype,Property Type Detail,Quarter,Range,Recreation,Rental Type,Residence,Restrictions,Restrictions/Covenants,Sale Rent,Sale Terms,Sale Type,SaleOrRent,Showing Instructions,Soil Test,Sub Property Type,Sub Type,Survey Available,Taxes Paid By,Terms,Title,Parking Features,Fireplace Features,Board,Foundation/Basement,Rental Equipment,Sign,Condo Management Firm,Condo Fees Include,Condo Fees Assessed Y/N,Bare Land YN,Condo Fees,Distance To High School,Drinking Water Y/N,Distance To Town,Distance To Elementary School,Community Name,Amenities,Structure,Surface Water,Utilities Available,Ensuite 4-Piece Level,Storage Room Level,Age Description,Bath 2-Piece Level,Bath 3-Piece Level,Foyer Level,Bath 4-Piece Level,Bedroom Level,Walk In Closet Level,Sewer Type,Last Change Type,Kitchen Level,Dwelling Type,Primary Bedrm Level,Assoc,Living Room Level,Recreation Room Level,Dining Room Level,Laundry Room Level,Rental Features,Assoc/Maint Fee Per,Living Area,Zoning,Architectural Style,Lot Features,Maintenance,Water/Sewer,Double,Land Features,MLS,Sub Area,Building Features,Lease Type,Municipality,Community Features,Elevator,MLS Area Minor,View,Foundation Details,SqFt Range,Building Area Source,Buyer Agent Designation,Lot Measurement,Lot Size Source,Topography,Current Financing
"29 AKSALA DRIVE, Whitehorse, YT Y1A0K9",Whitehorse,YT,Y1A0K9,60.7700164,-135.1029306,"Are you looking for a home with suite-potential situated on a large lot backing onto greenspace? 29 Aksala is the home for you!This 3-bedroom 3-bathroom home offers 2200 ft.² of living space with an open concept kitchen/dining/living on the upper level, 2 bedrooms and a full bathroom. The upper level is flooded with natural light, complemented by a back deck off the kitchen that is perfect for outdoor dining. The lower level offers a third bedroom, two bathrooms and additional living space with a convenient walkout basement. Don't miss the opportunity to shape this property into your dream home - the possibilities are endless! (id:38686)",729000,CAD,3,3,"2,200",,,,,,,,,,,,,,,,,,,,,"Electric, Conventional",,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,16174,,,,,,,,,,,,,"$3,343",Single Family,,,,,,,,"2,200 SQFT",,,,,,,,Single Family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Electric, Conventional",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16174,,,,,,,,,,,,,,,,
"184 WITCH HAZEL DRIVE, Whitehorse, YT Y1A0T6",Whitehorse,YT,Y1A0T6,60.7831057,-135.1127426,"NO CONDO FEES! Welcome to this beautifully maintained townhome offering 3 bedrooms and 2.5 bathrooms, spread over 1,920 square feet of well-designed living space. This home combines both comfort and style with exceptional energy efficiency. Step inside and be greeted by the rich beauty of 3/4"" solid hardwood flooring that flows seamlessly throughout the home. The open-concept design features two distinct living spaces--one upstairs and one downstairs--providing ample room to entertain or unwind in privacy. Large windows flood both levels with natural light, while quad-pane windows & R40/80 walls and ceilings ensure excellent insulation for year-round comfort. The kitchen features gorgeous maple cabinetry that offers both style and ample storage; this space is as functional as it is beautiful. This home is truly a gem in immaculate condition, offering the perfect blend of luxury, practicality, and energy efficiency. Don't miss the opportunity to make it yours! (id:38686)",594500,CAD,3,3,"1,920",0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16161,,,,,,,,,,,,,"$4,186",Single Family,,,,,,,,"1,920 SQFT",,,,,,,,Single Family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16161,,,,,,,,,,,,,,,,
"134-18 AZURE ROAD, Whitehorse, YT Y1A0L2",Whitehorse,YT,Y1A0L2,60.7771942,-135.1631171,"GREENBELT/END UNIT AND WALK OUT BASEMENT!!! Welcome to unit 134-18 Azure Road in Crestview. This value priced home boasts 3 bedrooms/4 Bathrooms and 2,142 sq. ft. of space. The upstairs bedrooms are huge and will each accommodate a king size bed and come with an ensuite. On the main floor you'll find a welcoming entrance and living area as well as the main floor bathroom and separate laundry room. At the back, the kitchen complete with a great size island and access to the yard/green space both perfect for entertaining and simply enjoy life. In the finished basement you'll find a second living room, storage space, full bathroom, another huge bedroom perfect for roommates/room rental... no shared walls or floors between bedrooms. At $539,900 this is here today but won't be for long!!! Call today for your personal tour! **Please note a similar unit is photographed and measured here, buyer to satisfy themselves with actual unit and measurements. (id:38686)",539900,CAD,3,4,"2,142",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16160,,,,,,,,,,,,,"$1,462",Condo,,,,,,,,"2,142 SQFT",,,,,,,,Condo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16160,,,,,,,,,,,,,,,,
"133-18 AZURE ROAD, Whitehorse, YT Y1A0L2",Whitehorse,YT,Y1A0L2,60.7771942,-135.1631171,"GREENBELT AND WALK OUT BASEMENT!!! Welcome to unit 133-18 Azure Road in Crestview. This value priced home boasts 3 bedrooms/4 Bathrooms and 2,142 sq. ft. of space. The upstairs bedrooms are huge and will each accommodate a king size bed and come with an ensuite. On the main floor you'll find a welcoming entrance and living area as well as the main floor bathroom and separate laundry room. At the back, the kitchen complete with a great size island and access to the yard/green space both perfect for entertaining and simply enjoy life. In the finished basement you'll find a second living room, storage space, full bathroom, another huge bedroom perfect for roommates/room rental... no shared walls or floors between bedrooms. At $529,900 this is here today but won't be for long!!! Call today for your personal tour! **Please note a similar unit is photographed and measured here, buyer to satisfy themselves with actual unit and measurements. (id:38686)",529900,CAD,3,4,"2,142",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16159,,,,,,,,,,,,,"$1,460",Condo,,,,,,,,"2,142 SQFT",,,,,,,,Condo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16159,,,,,,,,,,,,,,,,
"417 MACKENZIE DRIVE, Norman Wells, NT X0E0V0",Norman Wells,NT,X0E0V0,65.2576212,-126.7028545,"Discover this one-of-a-kind log cabin retreat nestled in the tranquil beauty of DOT Lake. Tucked away on a private, heavily wooded acre, this stunning 2-storey, 2,907 sq. ft. log home offers a peaceful escape with all the space and amenities you need. A sprawling 13'x27' living room featuring a Blaze King wood stove with eat-in kitchen, perfect for hosting in addition to storage and entrance foyer, all complete with in-floor heating for the winter and A/C in the summer. 3 oversized bedrooms offering a clear view of the Mackenzie River. The primary loft has built-in closets and en-suite featuring a deep tub, walk-in shower, and double sinks. Outside offers a heated garage/shop, utility room, smokehouse (used for storage currently), greenhouse, raised garden beds, wood shed and fire pit. FULLY FURNISHED. IMMEDIATE POSSESSION AVAILABLE. If you've been dreaming of privacy, space, and rustic elegance close to town, this extraordinary log home is waiting for you! (id:38686)",429900,CAD,3,2,"2,907",,,,,,,,,,,,,,,,,,,,,"Wood, Conventional",,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,6059,,,,,,,,,,,,,N/A,Single Family,,,,,,,,"2,907 SQFT",,,,,,,,Single Family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wood, Conventional",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6059,,,,,,,,,,,,,,,,
"203-213 KENO WAY, Whitehorse, YT Y1A0S4",Whitehorse,YT,Y1A0S4,60.7773946,-135.1121661,"TOO MANY AMAZING FEATURES TO LIST! Welcome to this thoughtfully designed 800sqft upper unit with the most stunning and efficient upgrades, making it feel upscale and incredibly functional. The kitchen showcases sleek IKEA soft-close cabinetry, new kitchen sink and faucet, and under mount lighting. New light fixtures with dimmers for customizable ambiance are located throughout the space. The bathroom has been modernized with white subway tile above the sink and shower, new vanity, and high end shower head. Custom storage solutions and closet organizers maximize space, while 9' ceilings enhance the airy feel. In-suite laundry, a dedicated parking stall, and a private storage unit offer added convenience. With superior soundproofing in partition walls and ceilings for a truly peaceful home. With SO MANY additional upgrades, this unit is truly one of a kind. Contact your realtor for a full list of features TODAY! (id:38686)",374900,CAD,2,1,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16155,,,,,,,,,,,,,"$1,175",Condo,,,,,,,,800 SQFT,,,,,,,,Condo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16155,,,,,,,,,,,,,,,,
"13-85 AKSALA DRIVE, Whitehorse, YT Y1A0M5",Whitehorse,YT,Y1A0M5,60.7728117,-135.0999851,"Welcome to this stunning townhouse in Whistle Bend, close to the elementary school, offering 1,680 sq. ft. of thoughtfully designed living space with three levels.  Step inside and be greeted by a fabulous kitchen, featuring under-cabinet lighting, modern features such as Ceasarstone quartz countertops, and plenty of storage--perfect for any chef. The open concept living area is highlighted by an amazing propane fireplace, creating a warm and inviting atmosphere on chilly Yukon nights. Two spacious bedrooms upstairs with plenty of natural light that provide both comfort and style, plus a bathroom with a 6' soaker bathtub and quartz countertops! A third bedroom, bath, and second living/rec room on the lower level. This home includes two dedicated parking spots and a back deck perfect for entertaining, complete with a BBQ shelter and gazebo--your ideal outdoor retreat.  Don't miss this opportunity to own a beautiful townhouse in a great location.  Contact us today!! (id:38686)",499900,CAD,3,2,"1,680",,,,,,,,,,,,,,,,,,,,,"Gas, Conventional",,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,16154,,,,,,,,,,,,,"$2,474",Condo/Townhome,,,,,,,,"1,680 SQFT",,,,,,,,Condo/Townhome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gas, Conventional",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16154,,,,,,,,,,,,,,,,
"A & B-1205 PINE STREET, Whitehorse, YT Y1A4E9",Whitehorse,YT,Y1A4E9,60.7661743,-135.1263733,"A full duplex on an 80' x 200' flat lot gives you lots of space to park your toys and RV or even build additional structures like a garden suite or a shop with a rental unit. Each side of the duplex has 3 large bedrooms and 2 full bathrooms and are heated with electric baseboard heaters. Long-term tidy tenants currently occupy both units. Unit A is 1655 sqft and Unit B is 1644 sqft. Exact lot size is 15,974 sqft. Watch the video for a full tour and check the floor plan for details. Upgrade spray foam insulation in the attic and triple-pane windows. Open House Sat Feb 1st and Sun Feb 2 1-3 pm. (id:38686)",775000,CAD,6,4,"3,299",0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16148,,,,,,,,,,,,,"$3,324",Single Family,,,,,,,,"3,299 SQFT",,,,,,,,Single Family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16148,,,,,,,,,,,,,,,,
"217 WITCH HAZEL DRIVE, Whitehorse, YT Y1A0T6",Whitehorse,YT,Y1A0T6,60.7832852,-135.1127669,"CENTER Unit, NO Condo Fees, Welcome to 217 Witch Hazel in up and coming Whistle Bend. This 3 Bed/3 Bath features 1,874 SF of space! On The main floor you'll find a bright and sunny living room, 2-pce bath, crawlspace access, laundry, an expansive kitchen complete with stainless steel appliances, open concept dining and access to the backyards. On the top floor you'll find 2 bedrooms including the primary w/ a great walk-in closet and 4-pce Ensuite Bath. The upper level also features a wide hallway and a full bath. Complete with divider fences in the yard (Spring '25), concrete parking pad and builders warranty. Call your REALTOR® today! (id:38686)",584900,CAD,3,3,"1,874",0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16145,,,,,,,,,,,,,$384,Single Family,,,,,,,,"1,874 SQFT",,,,,,,,Single Family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16145,,,,,,,,,,,,,,,,
"102-25 GLEANER AVENUE, Whitehorse, YT Y1A0N7",Whitehorse,YT,Y1A0N7,60.7794647,-135.1129913,"Modern 2-Bedroom Condo in Whistle Bend - Available April 2025! Welcome to this stylish and efficient 2-bedroom, 1-bathroom lower-level condo in the desirable Whistle Bend neighborhood! Built in 2023, this 739 sq. ft. home is perfect for a single person, new home buyers or persons looking to downsize while enjoying modern comforts and convenience. Features include: Open-concept layout maximizing space and functionality On-site laundry for added convenience Easy access to the back deck - perfect for relaxing outdoors One designated parking spot Modern finishes and energy-efficient design With possession available as early as April 2025, this is a fantastic opportunity to own a low-maintenance, move-in-ready home in a growing community. (id:38686)",368500,CAD,2,1,739,,,,,,,,,,,,,,,,,,[],[],,[],,,[],,,,,,,,,,,[],,,,,,,,,,,,,,,16135,,,,,,,,,,,,,"$1,184",Condo,,,,,,,[],739 SQFT,,,,,,,,Condo,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16135,,,,,,,,,,,,,,,,
